Stop,X,Y
Oberlaa,434,535
Neulaa,434,514
Alaudagasse,434,495
Altes Landgut,434,478
Troststrasse,434,461
Reumannplatz,434,444
Keplerplatz,434,428
Suedtiroler Platz - Hauptbahnhof,434,409
Taubstummengasse,434,393
Karlsplatz,434,363
Stephansplatz,434,291
Schwedenplatz,468,242
Nestroyplatz,489,222
Praterstern,511,200
Vorgartenstrasse,531,180
Donauinsel,551,159
Kaisermuehlen/VIC,570,139
Alte Donau,588,123
Kagran,606,103
Kagraner Platz,625,84
Rennbahnweg,644,66
Aderklaaer strasse,663,47
Grossfeldsiedlung,681,28
Leopoldau,700,9
Seestadt,853,146
Aspern Nord,831,146
Hausfeldstrasse,808,146
Aspernstrasse,769,184
Donauspital,747,207
Hardeggasse,716,208
Stadlau,698,226
Donaustadtbruecke,678,245
Donaumarina,655,268
Stadion,622,257
Krieau,592,227
Messe-Prater,564,200
Taborstrasse,467,200
Schottenring,427,200
Schottentor,397,228
Rathaus,373,253
Volkstheater,373,291
Museumsquartier,373,337
Ottakring,99,215
Kendlerstrasse,119,234
Huetteldorfer strasse,138,253
Johnstrasse,157,273
Schweglerstrasse,213,291
Westbahnhof,251,291
Zieglergasse,297,291
Neubaugasse,335,291
Herrengasse,404,291
Stubentor,461,291
Landstrasse,495,291
Rochusgasse,530,291
Kardinal-Nagl-Platz,564,291
Schlachthausgasse,586,312
Erdberg,608,335
Gasometer,628,356
Zippererstrasse,648,374
Enkplatz,665,392
Simmering,686,413
Huetteldorf,8,368
Ober St. Veit,42,368
Unter St. Veit,73,368
Braunschweiggasse,104,368
Hietzing,137,368
Schoenbrunn,172,368
Meidling Haupstrasse,205,368
Laengenfeldgasse,251,368
Margaretenguertel,293,368
Pilgramgasse,333,368
Kettenbrueckengasse,377,368
Stadtpark,483,350
Rossauer Laende,400,174
Friedensbruecke,365,139
Spittelau,335,108
Heiligenstradt,335,47
Siebenhirten,251,549
Perfektastrasse,251,526
Erlaaer strasse,251,505
Alterlaa,251,484
Am Schoepfwerk,251,462
Tschwerttegasse,251,440
Bahnhof Meidling,251,419
Niederhofstrasse,251,397
Gumpendorfer strasse,251,327
Burggasse-Stadthalle,251,261
Thaliastrasse,251,236
Josefstaedter strasse,251,212
Alser strasse,251,188
Michelbeuern - AKH,251,162
Waehringer strasse - Volksoper,278,135
Nussdorfer strasse,305,108
Jaegerstrasse,373,108
Dresdner strasse,401,108
Handelskai,434,108
Neue Donau,465,78
Floridsdorf,495,47
